"Data Source","World Development Indicators",

"Last Updated Date","2024-05-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.3963620981387","14.9874493927126","17.1338439095551","17.5109023817511","15.5483138780804","13.1759545308158","13.0540690696972","13.2416208673862","14.8922098082515","15.5965082540353","16.2974611255338","17.6558632372378","17.4795502921148","16.1823488793703","13.0430359920285","11.5460620013165","12.3664483303712","10.0760634560669","10.7496624410616","10.799498200524","12.4688230870932","12.7138223459928","12.3948233277596","11.3581680555627","11.3720370882194","","","","",
"Africa Eastern and Southern","AFE","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","29.4629313588333","30.4355722238911","28.9213015417906","27.4522057790871","27.8696773374169","28.5793530035832","28.3623023351054","28.184338439111","28.0533837714958","26.8300373232469","29.1746093140849","28.0662062941255","28.254397387256","27.7595438728864","27.6895006526083","26.9220572789929","26.0605789022485","25.9121773383117","26.9075502963538","26.8640253698085","27.4522849761503","26.7011250572585","27.0131429192006","27.9632357320937","28.0452772570982","29.2186946163744","30.6660092937093","26.6472238835206","27.5619442693744","28.688605801437","28.5142457239488","27.8205561318572","27.162660907071","25.1917310608115","25.000524643216","25.3035735949846","26.7816472832736","26.3854810298806","25.3805735714509","25.9835223665631","26.8218510282443","",
"Afghanistan","AFG","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.8101270064854","22.7108641828326","26.2267897500666","26.8120992326398","28.2107680719994","26.8822416082148","26.9156280026285","21.8971222069406","21.1514206977128","22.7402524820273","21.1578071539751","20.4446053132561","21.2296632181805","22.1240424906926","10.4668076938201","10.0518739969063","13.3872469597976","14.0581123697768","12.9525996015547","14.2736570191788","","",
"Africa Western and Central","AFW","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","39.2180703283304","35.4114124778795","34.4254148847563","31.655752847355","34.0833401762088","31.2755089273256","30.6572632619699","29.5876643902543","31.281858527738","32.5124002854578","33.0206320937229","32.4470604590217","31.0613592669107","31.7621586323293","35.901847330888","36.4987875527567","35.0488850557266","29.3203083724308","28.1184579973067","32.0306313718463","28.040761601649","25.2568726262121","27.3164073320448","29.1541011978527","29.5590712230616","28.0228788337884","26.9255341270085","27.9783754023541","24.4797802984883","27.2103429530066","30.190489223866","29.5698290362231","28.6422315337429","27.2498265364518","22.9725891068998","21.4651637419849","24.3482793732355","26.6254041633612","27.5010196654194","27.2413821146431","29.4054823618786","30.0590327280184","",
"Angola","AGO","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.2851757873636","67.8206759362436","60.757741389497","55.1572893027623","72.7173723137849","72.1229549419033","64.8838115415289","56.0757965388459","53.1169977877105","54.6299332781384","60.4019934569532","58.109331166465","61.8835378515421","60.2548203971699","44.0563741288187","52.3684375791632","56.0265138898967","56.9182189644947","53.3628521772331","46.2033255675024","41.9330921928439","42.6435678702129","42.1679537698985","47.9315418514046","49.7609216143959","45.6782423367558","47.5244095549704","44.8763995482735","",
"Albania","ALB","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.3738406921901","18.1097656674433","15.3468382322371","16.5367430578412","19.3956891374484","21.7357737789933","23.10636959577","24.055608509483","24.6655622675068","25.0816065897088","25.3080259185205","25.3403319220157","25.1610103305709","24.4137783931968","24.9374619346668","24.4844782196853","22.9185533432722","23.0613168520051","21.5088457362369","21.7636809971645","21.1419653523072","20.3584083577153","21.2794101864807","20.6196548783662","20.1145301950871","20.7469849089846","21.3944061535612","",
"Andorra","AND","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.8437550367806","14.9240176087095","15.0672890885022","15.4949366544165","15.7803540103879","16.0357828783728","16.1672951911525","15.4735314793076","15.4327671138582","14.7664887100921","13.1256460606154","11.908853107908","11.0715796683925","10.6182471491429","10.1535313011382","9.98126871637019","10.1407794073814","10.3955176672591","11.0763337210625","11.6998176283166","12.6601582717327","12.3657061543935","11.921568627451","",
"Arab World","ARB","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","57.5525154868153","59.4623137831411","57.7294355342224","53.3153854427798","59.2586112100528","64.8531408474945","62.0215983028551","53.2839678682845","45.9605137235934","43.4471091397251","40.4607730024531","34.6157311924262","35.5141951955135","36.1905338781408","38.0560637821959","56.2213403597535","39.4145174614511","42.1009094423444","39.468691560881","38.963953189842","41.0353708819785","42.8645899140232","43.8713513543611","39.128453611885","43.0677308633839","49.1189545500265","46.3945264248471","46.3245762381577","46.8602351589726","48.9743452988091","52.7350335578564","54.1256867786617","52.8299864531906","55.3837324734969","46.567363742906","49.2041540459658","53.9870331324497","54.7918505463513","52.6530433748521","50.1013610346152","40.8319604129498","38.4636544305615","41.1965764476595","44.9999532859219","42.8933005476678","36.8002553804946","42.0304942308311","48.0990519689058","",
"United Arab Emirates","ARE","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","73.995507005299","71.8147226501297","67.9817061865227","68.058799882661","71.3555523848691","72.6636063301946","68.3633070683534","63.1520519771899","61.4041786789367","62.8107143089844","61.2521468441391","52.1543733498118","54.6811011537108","53.0142376546918","55.0769292067955","58.9023505708529","46.7783014879946","55.2980232231106","51.4799216454456","46.2603750878466","45.5451739211502","46.3670023696682","45.4284115017034","40.0235324596818","42.0206625694073","48.5170116316395","49.6763412859899","47.5457475824448","49.1210129154604","51.6783480847693","55.6434763024807","57.903111718071","54.840228590251","58.0179784435584","52.044956000368","51.6784594828584","57.0771206726912","56.5680617402564","54.2038149782479","51.9897136679655","43.3542449304817","41.0285717311933","42.5280347654664","46.9189575898931","44.5245160401163","42.1740430729015","47.1393240178447","51.464463582535","",
"Argentina","ARG","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","48.4144764220088","49.605814661101","47.3834143823114","47.0360652886282","47.3861283042889","42.278789634459","45.9547284532329","45.581648950747","43.3522399337902","43.5928026239928","50.141323678472","50.8936968299416","47.8061321932459","46.0976480128857","44.0281237970279","41.2196656668996","40.3382267072576","41.1028486443199","41.5563065120102","39.70818793304","39.2761545711593","37.3804348914774","37.8286752699048","38.4866110820983","42.3478130695861","36.0218813478135","32.7225282556322","30.6839549022114","27.338739645861","26.7545586932878","26.3012103355498","26.5925606398683","27.1791508883114","26.7121357626278","26.1936304991129","25.9908360111364","25.2434339827333","30.5577370913046","32.6450990996503","28.816922006834","28.6263140439084","29.2032796652469","27.4152361334783","26.2724599395946","25.2842047993735","25.2587762576722","25.2126976058843","24.4290570649122","24.0058814423072","24.2773944936602","23.153056135905","22.0541072112108","21.782123219335","23.7195923321304","23.1578477391434","22.4088763711802","23.9172428049615","24.1637048898657","",
